TypeName,Inches,ScreenResolution,Cpu,Ram,OpSys,Weight,Price_euros,TouchScreen,HDD,SSD,Flash Storage,Hybrid,SSHD,2 in 1 Convertible,Gaming,Netbook,Notebook,Ultrabook,Workstation,Android,Chrome OS,Linux,Mac OS X,No OS,Windows 10,Windows 10 S,Windows 7,macOS
Gaming,15.6,14.0,14,16,Windows 10,2.72,1099.0,1,0,0,0,0,1128,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Ultrabook,13.3,4.0,14,8,Windows 10,1.31,1599.0,1,0,256,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Notebook,15.6,1.0,15,4,Linux,2.1,298.0,0,1000,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Notebook,15.6,4.0,14,16,Windows 10,2.3,1181.27,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2 in 1 Convertible,15.0,4.0,14,16,Windows 10,1.71,1799.0,1,0,256,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Notebook,14.0,1.0,13,4,Windows 10,1.75,1020.0,0,0,128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Gaming,15.6,4.0,14,8,Windows 10,2.62,1099.0,0,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Ultrabook,12.5,1.0,13,4,Windows 10,1.26,1244.0,0,0,256,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2 in 1 Convertible,15.6,4.0,14,12,Windows 10,2.3,839.0,1,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Notebook,15.6,14.0,14,16,Windows 7,2.5,2370.0,0,0,512,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Notebook,14.0,4.0,12,4,Windows 10,1.8,636.0,0,0,128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Gaming,14.0,4.0,14,16,Windows 10,1.95,2899.0,0,0,512,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Notebook,15.6,4.0,15,8,Windows 10,2.0,581.9,0,0,128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Gaming,17.3,4.0,14,32,Windows 10,4.42,3588.8,0,0,0,0,0,2000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Gaming,17.3,4.0,14,16,Windows 10,4.3,2350.0,0,0,0,0,0,1256,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Ultrabook,14.0,4.0,14,16,Windows 10,1.47,1764.0,0,0,512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Notebook,15.6,1.0,10,8,No OS,2.2,329.0,0,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Ultrabook,14.0,4.0,14,16,Windows 10,1.7,2299.0,0,0,512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Gaming,14.0,4.0,14,16,Windows 10,1.6,1891.0,0,0,0,0,0,1256,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Gaming,15.6,4.0,13,8,Windows 10,2.2,1089.0,0,0,0,0,0,1128,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Gaming,15.6,4.0,14,4,Windows 10,2.4,999.0,0,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Gaming,17.3,4.0,14,16,Windows 10,4.2,2299.0,0,0,0,0,0,1256,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
